id,amount,contractor,timestamp,project,description
1,185763,GreenEarth Developers,2024-09-20 22:35:51,Slum Rehabilitation - Sector 12,Project management fee
2,78001,MetroBuild Co,2024-10-04 12:33:51,Slum Rehabilitation - Sector 12,Material procurement
3,125880,Omkar Infra,2024-01-08 23:30:17,Slum Rehabilitation - Sector 12,Material procurement
4,194092,BlueRock EPC,2024-09-13 02:49:19,Slum Rehabilitation - Sector 12,Labor payment
5,72399,Unity Builders,2024-06-08 05:26:04,Road Widening Phase 2,Project management fee
6,20580,UrbanLift Engineers,2024-03-15 04:03:19,Road Widening Phase 2,Machinery rental
7,55360,MetroBuild Co,2024-01-10 08:08:41,Metro Line 3 - Subsystem Work,Material procurement
8,190644,GreenEarth Developers,2024-10-22 00:47:59,Road Widening Phase 2,Machinery rental
9,193097,Omkar Infra,2024-07-29 19:03:08,Metro Line 3 - Subsystem Work,Material procurement
10,36943,MetroBuild Co,2024-10-02 00:30:55,Metro Line 3 - Subsystem Work,Material procurement
11,12240,Omkar Infra,2024-08-29 09:28:11,Road Widening Phase 2,Project management fee
12,37784,Sharma Infra Ltd,2024-11-05 06:27:35,Slum Rehabilitation - Sector 12,Structural work invoice
13,179030,MetroBuild Co,2024-11-25 15:35:02,Road Widening Phase 2,Machinery rental
14,115744,GreenEarth Developers,2024-02-02 12:48:28,Slum Rehabilitation - Sector 12,Structural work invoice
15,134757,UrbanLift Engineers,2024-08-31 19:32:21,Housing Project Zone B,Material procurement
16,13773,Unity Builders,2024-03-10 10:02:24,Slum Rehabilitation - Sector 12,Machinery rental
17,113549,Unity Builders,2024-07-24 23:56:43,Housing Project Zone B,Project management fee
18,182789,Omkar Infra,2024-09-04 13:29:33,Slum Rehabilitation - Sector 12,Machinery rental
19,38099,Sharma Infra Ltd,2024-01-29 12:43:38,Metro Line 3 - Subsystem Work,Material procurement
20,78802,Unity Builders,2024-01-18 22:09:34,Housing Project Zone B,Structural work invoice
21,37310,Unity Builders,2024-01-05 17:27:51,Road Widening Phase 2,Structural work invoice
22,155585,Omkar Infra,2024-09-03 18:33:43,Road Widening Phase 2,Machinery rental
23,96786,Omkar Infra,2024-05-17 02:23:36,Housing Project Zone B,Structural work invoice
24,195019,Skyline Constructions,2024-08-07 12:33:57,Road Widening Phase 2,Material procurement
25,144900,Sharma Infra Ltd,2024-11-16 19:36:03,Road Widening Phase 2,Labor payment
26,159999,BlueRock EPC,2024-02-15 08:27:46,Metro Line 3 - Subsystem Work,Labor payment
27,9389,Omkar Infra,2024-04-24 04:25:05,Road Widening Phase 2,Machinery rental
28,154451,Sharma Infra Ltd,2024-06-14 06:37:35,Road Widening Phase 2,Labor payment
29,7110,Sharma Infra Ltd,2024-11-11 03:09:39,Housing Project Zone B,Project management fee
30,56661,Omkar Infra,2024-04-27 01:53:34,Metro Line 3 - Subsystem Work,Labor payment
31,93107,Sharma Infra Ltd,2024-08-12 13:40:27,Metro Line 3 - Subsystem Work,Machinery rental
32,82407,GreenEarth Developers,2024-01-07 03:40:55,Road Widening Phase 2,Project management fee
33,103941,BlueRock EPC,2024-07-20 07:16:39,Slum Rehabilitation - Sector 12,Material procurement
34,158806,Skyline Constructions,2024-12-21 12:07:48,Road Widening Phase 2,Machinery rental
35,153269,Omkar Infra,2024-05-01 01:26:26,Slum Rehabilitation - Sector 12,Machinery rental
36,36883,Sharma Infra Ltd,2024-05-04 14:03:08,Slum Rehabilitation - Sector 12,Material procurement
37,53599,UrbanLift Engineers,2024-01-14 11:27:43,Road Widening Phase 2,Material procurement
